,TF family name,number of TFs,list of TFs
11,COE1_DBD,2,"Solyc08g068370.3.1,Solyc11g071270.2.1"
53,Copper-fist,2,"Solyc03g120820.4.1,Solyc05g150147.1.1"
55,CP2,1,Solyc06g051370.1.1
38,CSD,8,"Solyc01g015290.1.1,Solyc01g111280.3.1,Solyc01g111300.4.1,Solyc02g083800.4.1,Solyc03g033500.4.1,Solyc08g006240.3.1,Solyc08g006280.2.1,Solyc10g055250.1.1"
1,DM,2,"Solyc03g043600.3.1,Solyc07g056030.3.1"
22,DUF573,28,"Solyc01g088820.2.1,Solyc01g096470.3.1,Solyc01g097250.4.1,Solyc01g097890.2.1,Solyc02g005290.4.1,Solyc02g014740.2.1,Solyc02g014750.2.1,Solyc02g083750.1.1,Solyc03g122030.1.1,Solyc05g018350.4.1,Solyc05g051330.1.1,Solyc06g083430.1.1,Solyc07g052740.3.1,Solyc07g052760.3.1,Solyc07g052830.4.1,Solyc07g052900.1.1,Solyc07g063840.1.1,Solyc07g063980.1.1,Solyc07g063990.1.1,Solyc07g064000.1.1,Solyc08g007170.1.1,Solyc08g062420.3.1,Solyc09g008850.3.1,Solyc09g013080.3.1,Solyc11g066460.1.1,Solyc12g008740.1.1,Solyc12g043090.3.1,Solyc12g096170.2.1"
6,E2F_TDP,12,"Solyc01g007760.3.1,Solyc02g030317.1.1,Solyc02g087310.3.1,Solyc03g113760.3.1,Solyc03g116740.3.1,Solyc04g050670.1.1,Solyc04g070980.4.1,Solyc04g081350.3.1,Solyc06g074010.3.1,Solyc09g010670.4.1,Solyc10g078430.2.1,Solyc11g068800.2.1"
64,EIN3,9,"Solyc01g006650.2.1,Solyc01g009170.4.1,Solyc01g014480.3.1,Solyc01g096810.3.1,Solyc03g096630.1.1,Solyc04g054840.1.1,Solyc05g051875.1.1,Solyc06g073720.3.1,Solyc06g073730.2.1"
61,Ets,3,"Solyc06g053960.3.1,Solyc07g040680.3.1,Solyc08g080540.3.1"
50,FAR1,48,"Solyc01g016665.1.1,Solyc01g066625.1.1,Solyc01g066670.1.1,Solyc01g150145.1.1,Solyc01g096850.4.1,Solyc01g103180.4.1,Solyc01g110070.3.1,Solyc01g112320.3.1,Solyc02g150118.1.1,Solyc02g021680.3.1,Solyc02g068550.2.1,Solyc02g092170.1.1,Solyc03g044690.1.1,Solyc03g104810.3.1,Solyc03g082435.1.1,Solyc03g094125.1.1,Solyc03g150148.1.1,Solyc03g113110.1.1,Solyc03g117520.3.1,Solyc03g121630.3.1,Solyc04g051690.4.1,Solyc04g070995.1.1,Solyc04g071265.1.1,Solyc04g072045.1.1,Solyc04g082845.2.1,Solyc05g007700.1.1,Solyc05g009583.1.1,Solyc05g014930.1.1,Solyc06g054040.1.1,Solyc06g065940.4.1,Solyc06g068200.1.1,Solyc06g068210.3.1,Solyc06g073200.4.1,Solyc06g073210.4.1,Solyc07g043270.3.1,Solyc07g045520.4.1,Solyc07g047960.3.1,Solyc08g060840.1.1,Solyc09g055820.1.1,Solyc09g057870.4.1,Solyc09g057880.3.1,Solyc10g044585.1.1,Solyc10g084220.3.1,Solyc11g017210.3.1,Solyc11g020215.1.1,Solyc11g051000.1.1,Solyc12g011027.1.1,Solyc12g056745.1.1"
67,FLYWCH,14,"Solyc02g021680.3.1,Solyc02g093050.3.1,Solyc03g082750.1.1,Solyc03g082810.1.1,Solyc04g056360.4.1,Solyc04g078550.3.1,Solyc05g012770.3.1,Solyc07g047960.3.1,Solyc07g065260.4.1,Solyc08g081610.4.1,Solyc09g057870.4.1,Solyc10g005680.2.1,Solyc10g084380.1.1,Solyc12g014610.2.1"
27,GAGA_bind,10,"Solyc01g110470.3.1,Solyc02g063280.4.1,Solyc02g084230.3.1,Solyc03g114370.4.1,Solyc04g008380.4.1,Solyc04g081170.3.1,Solyc06g065640.3.1,Solyc06g072370.3.1,Solyc08g076230.1.1,Solyc12g040780.1.1"
16,GATA,32,"Solyc01g060490.4.1,Solyc01g090760.4.1,Solyc01g100220.3.1,Solyc01g150157.1.1,Solyc01g106030.4.1,Solyc01g106040.3.1,Solyc01g108416.1.1,Solyc01g110310.3.1,Solyc02g062380.3.1,Solyc02g062760.4.1,Solyc02g084590.4.1,Solyc02g085190.2.1,Solyc03g033660.4.1,Solyc03g120890.3.1,Solyc04g015360.3.1,Solyc04g076530.3.1,Solyc05g053500.4.1,Solyc05g054400.3.1,Solyc05g056120.3.1,Solyc06g060940.2.1,Solyc06g075140.3.1,Solyc07g038160.4.1,Solyc08g007190.3.1,Solyc08g066510.3.1,Solyc08g077960.3.1,Solyc09g075610.3.1,Solyc09g091250.4.1,Solyc10g018560.2.1,Solyc10g047640.3.1,Solyc11g069510.3.1,Solyc12g008830.3.1,Solyc12g099370.2.1"
54,GCR1_C,2,"Solyc01g108416.1.1,Solyc02g065510.1.1"
20,GRAS,56,"Solyc01g008910.2.1,Solyc01g009840.3.1,Solyc01g059950.1.1,Solyc01g059960.1.1,Solyc01g079370.4.1,Solyc01g079380.1.1,Solyc01g090950.4.1,Solyc01g100200.3.1,Solyc02g085340.1.1,Solyc02g085600.1.1,Solyc02g092370.1.1,Solyc02g092570.1.1,Solyc02g094340.1.1,Solyc03g025170.1.1,Solyc03g110950.1.1,Solyc03g123400.1.1,Solyc04g011630.1.1,Solyc04g011640.3.1,Solyc04g014830.3.1,Solyc04g064550.1.1,Solyc05g053090.2.1,Solyc05g053420.1.1,Solyc05g054170.4.1,Solyc06g007650.2.1,Solyc06g009610.1.1,Solyc06g035620.3.1,Solyc06g036170.1.1,Solyc06g076280.3.1,Solyc06g076290.1.1,Solyc06g082530.3.1,Solyc07g043330.3.1,Solyc07g047950.1.1,Solyc07g052960.3.1,Solyc07g063940.2.1,Solyc07g065270.1.1,Solyc07g066250.1.1,Solyc08g014030.1.1,Solyc08g078800.1.1,Solyc08g080400.2.1,Solyc09g010920.1.1,Solyc09g018460.1.1,Solyc09g066450.3.1,Solyc09g090830.4.1,Solyc10g074680.2.1,Solyc10g086370.1.1,Solyc10g086380.1.1,Solyc10g086530.1.1,Solyc11g005610.1.1,Solyc11g011260.1.1,Solyc11g012510.3.1,Solyc11g013150.1.1,Solyc11g017100.1.1,Solyc12g005340.3.1,Solyc12g049320.3.1,Solyc12g099220.1.1,Solyc12g099900.1.1"
65,GTF2I,3,"Solyc12g088700.1.1,Solyc12g088710.1.1,Solyc12g095880.2.1"
49,HLH,166,"Solyc01g010130.4.1,Solyc01g014910.2.1,Solyc01g014960.1.1,Solyc01g020170.2.1,Solyc01g057300.2.1,Solyc01g067340.3.1,Solyc01g080050.4.1,Solyc01g081090.2.1,Solyc01g081100.3.1,Solyc01g086870.3.1,Solyc01g090790.4.1,Solyc01g096050.4.1,Solyc01g096370.4.1,Solyc01g098720.3.1,Solyc01g102300.3.1,Solyc01g106460.4.1,Solyc01g107140.3.1,Solyc01g107950.2.1,Solyc01g107960.4.1,Solyc01g107970.1.1,Solyc01g109700.3.1,Solyc01g111130.4.1,Solyc02g062690.3.1,Solyc02g063430.4.1,Solyc02g070880.1.1,Solyc02g076920.3.1,Solyc02g078130.3.1,Solyc02g079760.3.1,Solyc02g079810.3.1,Solyc02g079970.4.1,Solyc02g084880.3.1,Solyc02g087860.3.1,Solyc02g090950.1.1,Solyc02g091440.2.1,Solyc02g091690.3.1,Solyc02g091800.4.1,Solyc02g091810.2.1,Solyc02g091820.3.1,Solyc02g093280.2.1,Solyc03g005350.3.1,Solyc03g006910.3.1,Solyc03g007410.4.1,Solyc03g031450.3.1,Solyc03g034000.3.1,Solyc03g044460.1.1,Solyc03g095980.3.1,Solyc03g097820.2.1,Solyc03g112995.1.1,Solyc03g113560.4.1,Solyc03g114230.2.1,Solyc03g114233.1.1,Solyc03g114237.1.1,Solyc03g114720.3.1,Solyc03g115540.2.1,Solyc03g116340.3.1,Solyc03g118310.4.1,Solyc03g119390.4.1,Solyc03g120530.3.1,Solyc03g121240.1.1,Solyc04g005130.3.1,Solyc04g005220.3.1,Solyc04g005280.4.1,Solyc04g005660.4.1,Solyc04g006990.3.1,Solyc04g007300.4.1,Solyc04g007430.2.1,Solyc04g014360.3.1,Solyc04g056535.1.1,Solyc04g074810.4.1,Solyc04g076030.3.1,Solyc04g076240.3.1,Solyc04g076845.1.1,Solyc04g077480.3.1,Solyc04g077960.1.1,Solyc04g078690.3.1,Solyc04g078790.3.1,Solyc04g080710.4.1,Solyc05g005300.2.1,Solyc05g006650.3.1,Solyc05g007210.2.1,Solyc05g009640.4.1,Solyc05g009880.3.1,Solyc05g010610.3.1,Solyc05g014590.3.1,Solyc05g050560.1.1,Solyc05g053660.3.1,Solyc06g008030.3.1,Solyc06g035490.3.1,Solyc06g051260.4.1,Solyc06g051550.4.1,Solyc06g062460.3.1,Solyc06g064580.2.1,Solyc06g064590.3.1,Solyc06g068870.3.1,Solyc06g069370.4.1,Solyc06g069600.3.1,Solyc06g072520.2.1,Solyc06g083170.3.1,Solyc06g083980.3.1,Solyc07g005400.3.1,Solyc07g018010.3.1,Solyc07g039570.3.1,Solyc07g043580.4.1,Solyc07g052670.3.1,Solyc07g052930.3.1,Solyc07g053290.3.1,Solyc07g062200.2.1,Solyc07g063830.3.1,Solyc07g064040.3.1,Solyc08g005050.4.1,Solyc08g008600.3.1,Solyc08g062780.2.1,Solyc08g075090.4.1,Solyc08g075110.3.1,Solyc08g076820.3.1,Solyc08g076930.1.1,Solyc08g081140.4.1,Solyc08g083170.1.1,Solyc09g005070.1.1,Solyc09g011170.3.1,Solyc09g018130.3.1,Solyc09g018150.1.1,Solyc09g057710.4.1,Solyc09g063010.4.1,Solyc09g064920.3.1,Solyc09g065100.3.1,Solyc09g065820.4.1,Solyc09g066280.4.1,Solyc09g074805.1.1,Solyc09g083220.3.1,Solyc09g083360.3.1,Solyc09g089870.3.1,Solyc09g091760.3.1,Solyc09g097870.4.1,Solyc09g098110.4.1,Solyc10g006510.3.1,Solyc10g006640.3.1,Solyc10g008243.1.1,Solyc10g008247.1.1,Solyc10g008260.2.1,Solyc10g008263.1.1,Solyc10g008270.3.1,Solyc10g009270.3.1,Solyc10g009290.1.1,Solyc10g018510.2.1,Solyc10g049720.2.1,Solyc10g049780.1.1,Solyc10g078380.2.1,Solyc10g079050.2.1,Solyc10g079070.2.1,Solyc10g079650.2.1,Solyc10g079660.3.1,Solyc10g079680.3.1,Solyc11g005780.3.1,Solyc11g010340.2.1,Solyc11g056650.2.1,Solyc12g010170.2.1,Solyc12g010595.1.1,Solyc12g036430.3.1,Solyc12g036470.2.1,Solyc12g042010.1.1,Solyc12g087850.3.1,Solyc12g088130.3.1,Solyc12g088790.3.1,Solyc12g098620.2.1,Solyc12g100140.3.1"
56,HMG_box,20,"Solyc00g076250.1.1,Solyc01g010240.3.1,Solyc01g091010.3.1,Solyc01g100620.3.1,Solyc02g082700.3.1,Solyc02g087710.3.1,Solyc03g043600.3.1,Solyc04g008820.3.1,Solyc05g005240.2.1,Solyc05g012050.4.1,Solyc06g073920.3.1,Solyc07g008180.4.1,Solyc08g079100.3.1,Solyc08g082070.3.1,Solyc09g014620.3.1,Solyc09g091960.3.1,Solyc11g071810.2.1,Solyc12g009580.2.1,Solyc12g016190.2.1,Solyc12g094440.2.1"
14,Homeodomain,114,"Solyc01g007070.3.1,Solyc01g010600.4.1,Solyc01g073910.4.1,Solyc01g090460.3.1,Solyc01g091630.3.1,Solyc01g096320.3.1,Solyc01g100510.4.1,Solyc01g107410.3.1,Solyc01g109980.4.1,Solyc02g024070.3.1,Solyc02g062960.4.1,Solyc02g063520.3.1,Solyc02g065490.4.1,Solyc02g067410.2.1,Solyc02g077390.2.1,Solyc02g077590.1.1,Solyc02g077660.3.1,Solyc02g080260.4.1,Solyc02g081120.4.1,Solyc02g082670.3.1,Solyc02g083950.3.1,Solyc02g085630.3.1,Solyc02g086930.4.1,Solyc02g087840.3.1,Solyc02g089940.4.1,Solyc02g091930.3.1,Solyc03g026070.4.1,Solyc03g034110.4.1,Solyc03g034120.3.1,Solyc03g034130.4.1,Solyc03g034150.2.1,Solyc03g082550.3.1,Solyc03g096300.3.1,Solyc03g098200.4.1,Solyc03g112735.1.1,Solyc03g113270.3.1,Solyc03g118770.4.1,Solyc03g120620.3.1,Solyc03g120910.4.1,Solyc04g005800.3.1,Solyc04g014260.2.1,Solyc04g025740.2.1,Solyc04g074700.4.1,Solyc04g077210.3.1,Solyc04g077220.3.1,Solyc04g078650.4.1,Solyc04g079830.2.1,Solyc04g080780.2.1,Solyc04g080790.3.1,Solyc05g005090.4.1,Solyc05g006980.3.1,Solyc05g007180.3.1,Solyc05g008050.3.1,Solyc05g015030.3.1,Solyc05g051460.3.1,Solyc06g035940.3.1,Solyc06g050160.4.1,Solyc06g053220.3.1,Solyc06g060830.3.1,Solyc06g072310.3.1,Solyc06g072890.3.1,Solyc06g074120.3.1,Solyc06g075567.1.1,Solyc06g076000.1.1,Solyc07g007120.3.1,Solyc07g008730.2.1,Solyc07g026570.1.1,Solyc07g041850.3.1,Solyc07g053610.3.1,Solyc07g054380.2.1,Solyc07g062790.1.1,Solyc08g007270.4.1,Solyc08g041820.3.1,Solyc08g061140.3.1,Solyc08g062507.1.1,Solyc08g062530.4.1,Solyc08g065420.3.1,Solyc08g066500.4.1,Solyc08g076370.3.1,Solyc08g078300.4.1,Solyc08g080120.3.1,Solyc08g081400.4.1,Solyc08g083130.4.1,Solyc09g008810.3.1,Solyc09g011380.3.1,Solyc09g015110.2.1,Solyc09g057550.1.1,Solyc09g058993.1.1,Solyc09g060160.2.1,Solyc09g060175.1.1,Solyc09g066030.2.1,Solyc09g066060.3.1,Solyc09g074330.3.1,Solyc09g074690.3.1,Solyc09g074730.3.1,Solyc10g005330.3.1,Solyc10g007075.1.1,Solyc10g150101.1.1,Solyc10g007130.4.1,Solyc10g018000.1.1,Solyc10g080540.2.1,Solyc10g086640.3.1,Solyc11g010270.2.1,Solyc11g011940.3.1,Solyc11g065110.2.1,Solyc11g068950.3.1,Solyc11g069470.3.1,Solyc11g069890.3.1,Solyc11g072770.2.1,Solyc11g072790.2.1,Solyc12g005830.3.1,Solyc12g010410.3.1,Solyc12g044410.2.1,Solyc12g099760.2.1"
58,HSF_DNA-bind,26,"Solyc02g072000.3.1,Solyc02g072060.3.1,Solyc02g078340.4.1,Solyc02g079180.1.1,Solyc02g090820.3.1,Solyc03g006000.3.1,Solyc03g026020.3.1,Solyc03g097120.3.1,Solyc04g016000.3.1,Solyc04g078770.4.1,Solyc06g053960.3.1,Solyc06g072750.3.1,Solyc07g040680.3.1,Solyc07g055710.3.1,Solyc08g005170.3.1,Solyc08g062960.4.1,Solyc08g076590.3.1,Solyc08g080540.3.1,Solyc09g009100.4.1,Solyc09g059520.3.1,Solyc09g065660.4.1,Solyc09g082670.3.1,Solyc10g079380.2.1,Solyc11g064990.2.1,Solyc12g007070.2.1,Solyc12g098520.2.1"
48,HTH_psq,1,Solyc00g142160.1.1
44,IBD,1,Solyc04g076530.3.1
24,KilA-N,2,"Solyc04g080640.1.1,Solyc11g065110.2.1"
