maker-Nitab12-augustus-gene-1189.3	augustus-Nitab12-processed-gene-667.1
maker-Nitab11-augustus-gene-1433.3	maker-Nitab04-augustus-gene-370.16
maker-Nitab03-pred_gff_Mikado_loci-gene-1220.0	maker-Nitab15-pred_gff_Mikado_loci-gene-979.3
maker-Nitab08-augustus-gene-1321.2	maker-Nitab10-augustus-gene-13.0
maker-Nitab20-augustus-gene-1052.9	augustus-Nitab12-processed-gene-874.1
augustus-Nitab06-processed-gene-1240.3	maker-Nitab04-augustus-gene-563.15
maker-Nitab06-augustus-gene-1304.27	maker-Nitab21-pred_gff_Mikado_loci-gene-367.8
maker-Nitab16-augustus-gene-760.4	maker-Nitab12-augustus-gene-797.1
maker-Nitab21-pred_gff_Mikado_loci-gene-85.1	maker-Nitab14-augustus-gene-1063.7
maker-Nitab22-augustus-gene-2077.7	maker-Nitab17-augustus-gene-873.3
maker-Nitab10-pred_gff_Mikado_loci-gene-37.8	maker-Nitab02-augustus-gene-28.0
maker-Nitab22-augustus-gene-987.3	maker-Nitab14-augustus-gene-615.1
maker-Nitab03-pred_gff_Mikado_loci-gene-929.35	maker-Nitab23-pred_gff_Mikado_loci-gene-25.14
maker-Nitab01-pred_gff_Mikado_loci-gene-212.7	augustus-Nitab23-processed-gene-364.1
maker-Nitab09-augustus-gene-1057.9	augustus-Nitab04-processed-gene-358.31
maker-Nitab18-augustus-gene-926.3	maker-Nitab09-augustus-gene-372.0
maker-Nitab05-pred_gff_Mikado_loci-gene-908.8	maker-Nitab09-pred_gff_Mikado_loci-gene-1149.6
maker-Nitab10-augustus-gene-737.13	maker-Nitab23-augustus-gene-500.13
maker-Nitab21-augustus-gene-15.2	maker-Nitab03-augustus-gene-1727.6
maker-Nitab24-augustus-gene-866.10	maker-Nitab09-augustus-gene-763.6
maker-Nitab08-augustus-gene-27.8	maker-Nitab15-augustus-gene-176.1
maker-Nitab07-pred_gff_Mikado_loci-gene-325.20	maker-Nitab22-augustus-gene-552.10
maker-Nitab13-pred_gff_Mikado_loci-gene-1416.4	augustus-Nitab13-processed-gene-175.18
maker-Nitab01-pred_gff_Mikado_loci-gene-1758.1	augustus-Nitab09-processed-gene-780.2
maker-Nitab20-augustus-gene-211.5	maker-Nitab09-augustus-gene-765.7
maker-Nitab17-pred_gff_Mikado_loci-gene-900.0	maker-Nitab17-augustus-gene-564.10
maker-Nitab03-pred_gff_Mikado_loci-gene-96.10	maker-Nitab09-augustus-gene-1020.6
maker-Nitab03-augustus-gene-1469.21	augustus-Nitab23-processed-gene-308.12
maker-Nitab17-pred_gff_Mikado_loci-gene-1223.0	maker-Nitab21-augustus-gene-342.0
maker-Nitab08-pred_gff_Mikado_loci-gene-1334.3	maker-Nitab21-augustus-gene-611.4
maker-Nitab13-augustus-gene-1391.11	maker-Nitab11-augustus-gene-88.8
maker-Nitab03-augustus-gene-1632.26	maker-Nitab03-augustus-gene-1673.16
augustus-Nitab18-processed-gene-1305.0	maker-Nitab04-augustus-gene-1160.5
maker-Nitab20-augustus-gene-1393.14	maker-Nitab15-augustus-gene-58.3
maker-Nitab06-augustus-gene-1406.3	augustus-Nitab04-processed-gene-421.12
maker-Nitab21-augustus-gene-468.2	maker-Nitab21-augustus-gene-471.1
maker-Nitab06-augustus-gene-1717.17	maker-Nitab22-pred_gff_Mikado_loci-gene-321.0
maker-Nitab05-augustus-gene-93.9	maker-Nitab04-augustus-gene-659.5
maker-Nitab06-pred_gff_Mikado_loci-gene-1197.0	maker-Nitab04-pred_gff_Mikado_loci-gene-568.1
maker-Nitab11-pred_gff_Mikado_loci-gene-1452.17	maker-Nitab19-augustus-gene-1017.17
maker-Nitab21-augustus-gene-457.1	maker-Nitab23-augustus-gene-1309.2
maker-Nitab10-augustus-gene-526.4	maker-Nitab02-augustus-gene-338.2
maker-Nitab07-augustus-gene-236.8	maker-Nitab23-augustus-gene-1196.4
maker-Nitab08-augustus-gene-131.7	maker-Nitab04-augustus-gene-259.2
maker-Nitab01-augustus-gene-1322.9	maker-Nitab02-augustus-gene-1081.21
maker-Nitab03-augustus-gene-495.0	maker-Nitab14-pred_gff_Mikado_loci-gene-835.6
maker-Nitab06-augustus-gene-610.4	maker-Nitab04-pred_gff_Mikado_loci-gene-882.6
maker-Nitab11-pred_gff_Mikado_loci-gene-32.3	maker-Nitab12-augustus-gene-936.4
maker-Nitab22-augustus-gene-1124.3	maker-Nitab19-augustus-gene-717.19
maker-Nitab20-pred_gff_Mikado_loci-gene-43.0	maker-Nitab24-augustus-gene-1047.25
maker-Nitab05-pred_gff_Mikado_loci-gene-1275.1	maker-Nitab15-augustus-gene-989.6
maker-Nitab18-pred_gff_Mikado_loci-gene-62.0	maker-Nitab09-augustus-gene-1126.2
maker-Nitab10-augustus-gene-322.5	maker-Nitab02-augustus-gene-252.8
maker-Nitab07-augustus-gene-1452.9	maker-Nitab14-augustus-gene-136.3
maker-Nitab20-pred_gff_Mikado_loci-gene-1452.8	maker-Nitab15-pred_gff_Mikado_loci-gene-24.24
maker-Nitab06-pred_gff_Mikado_loci-gene-641.1	maker-Nitab04-pred_gff_Mikado_loci-gene-1157.7
maker-Nitab07-pred_gff_Mikado_loci-gene-1382.2	maker-Nitab19-augustus-gene-1414.36
maker-Nitab18-augustus-gene-1185.0	maker-Nitab09-augustus-gene-455.7
maker-Nitab11-pred_gff_Mikado_loci-gene-129.2	maker-Nitab23-augustus-gene-67.6
maker-Nitab05-augustus-gene-791.10	maker-Nitab23-augustus-gene-1481.0
maker-Nitab03-augustus-gene-27.5	maker-Nitab19-augustus-gene-460.8
maker-Nitab08-augustus-gene-1740.1	augustus-Nitab21-processed-gene-1041.14
maker-Nitab16-pred_gff_Mikado_loci-gene-1374.6	maker-Nitab04-pred_gff_Mikado_loci-gene-355.10
maker-Nitab06-augustus-gene-418.9	maker-Nitab09-augustus-gene-390.0
maker-Nitab20-pred_gff_Mikado_loci-gene-738.3	maker-Nitab24-augustus-gene-9.12
maker-Nitab16-pred_gff_Mikado_loci-gene-86.7	maker-Nitab23-augustus-gene-1426.2
augustus-Nitab21-processed-gene-131.6	maker-Nitab23-augustus-gene-1266.0
maker-Nitab16-augustus-gene-268.13	augustus-Nitab12-processed-gene-125.12
maker-Nitab11-augustus-gene-239.1	maker-Nitab09-augustus-gene-872.4
maker-Nitab20-augustus-gene-1227.0	maker-Nitab22-augustus-gene-392.0
maker-Nitab01-pred_gff_Mikado_loci-gene-1315.8	maker-Nitab23-augustus-gene-831.9
maker-Nitab01-augustus-gene-1921.18	maker-Nitab01-augustus-gene-1938.22
maker-Nitab01-augustus-gene-1924.1	maker-Nitab12-augustus-gene-11.0
maker-Nitab18-augustus-gene-140.17	maker-Nitab14-augustus-gene-254.20
maker-Nitab10-pred_gff_Mikado_loci-gene-201.6	maker-Nitab02-augustus-gene-152.3
maker-Nitab17-augustus-gene-1359.1	augustus-Nitab17-processed-gene-1342.2
maker-Nitab10-augustus-gene-1392.0	maker-Nitab17-augustus-gene-593.1
maker-Nitab07-augustus-gene-1242.4	maker-Nitab02-augustus-gene-1053.8
maker-Nitab10-augustus-gene-325.2	maker-Nitab22-augustus-gene-627.0
maker-Nitab03-augustus-gene-1122.8	maker-Nitab22-pred_gff_Mikado_loci-gene-76.0
maker-Nitab10-augustus-gene-929.1	augustus-Nitab02-processed-gene-815.17
maker-Nitab21-augustus-gene-464.20	maker-Nitab22-augustus-gene-669.4
maker-Nitab13-augustus-gene-1152.1	maker-Nitab24-augustus-gene-345.15
maker-Nitab21-augustus-gene-157.5	maker-Nitab17-augustus-gene-1605.20
maker-Nitab06-pred_gff_Mikado_loci-gene-1920.7	maker-Nitab24-augustus-gene-578.4
maker-Nitab19-pred_gff_Mikado_loci-gene-1244.4	maker-Nitab15-pred_gff_Mikado_loci-gene-653.10
maker-Nitab13-pred_gff_Mikado_loci-gene-790.0	maker-Nitab04-augustus-gene-724.3
augustus-Nitab13-processed-gene-1417.15	maker-Nitab23-augustus-gene-1359.17
maker-Nitab03-pred_gff_Mikado_loci-gene-370.3	maker-Nitab17-augustus-gene-517.0
maker-Nitab03-augustus-gene-24.10	augustus-Nitab14-processed-gene-435.1
maker-Nitab08-pred_gff_Mikado_loci-gene-1079.0	maker-Nitab04-augustus-gene-350.8
maker-Nitab16-augustus-gene-38.7	maker-Nitab23-augustus-gene-1362.1
maker-Nitab07-pred_gff_Mikado_loci-gene-217.29	maker-Nitab19-augustus-gene-996.17
augustus-Nitab20-processed-gene-424.1	maker-Nitab18-augustus-gene-675.0
maker-Nitab06-pred_gff_Mikado_loci-gene-1468.15	maker-Nitab24-augustus-gene-596.8
maker-Nitab20-augustus-gene-1305.0	augustus-Nitab22-processed-gene-145.6
maker-Nitab05-pred_gff_Mikado_loci-gene-990.10	maker-Nitab04-augustus-gene-1172.3
maker-Nitab16-augustus-gene-35.13	maker-Nitab23-augustus-gene-1366.3
maker-Nitab03-augustus-gene-1497.54	maker-Nitab17-pred_gff_Mikado_loci-gene-1393.0
augustus-Nitab10-processed-gene-1430.12	augustus-Nitab13-processed-gene-374.2
maker-Nitab20-augustus-gene-109.0	maker-Nitab12-augustus-gene-1157.12
maker-Nitab10-augustus-gene-110.6	maker-Nitab13-augustus-gene-283.0
maker-Nitab16-augustus-gene-1129.5	maker-Nitab12-augustus-gene-978.3
maker-Nitab03-pred_gff_Mikado_loci-gene-301.0	augustus-Nitab17-processed-gene-583.5
maker-Nitab08-augustus-gene-1154.5	augustus-Nitab24-processed-gene-611.1
maker-Nitab10-pred_gff_Mikado_loci-gene-854.5	maker-Nitab02-augustus-gene-779.1
maker-Nitab03-pred_gff_Mikado_loci-gene-1708.1	maker-Nitab03-augustus-gene-1341.23
maker-Nitab20-pred_gff_Mikado_loci-gene-273.0	maker-Nitab24-augustus-gene-811.10
maker-Nitab17-pred_gff_Mikado_loci-gene-0.16	maker-Nitab17-augustus-gene-236.2
maker-Nitab21-pred_gff_Mikado_loci-gene-247.5	maker-Nitab17-augustus-gene-1753.6
maker-Nitab03-augustus-gene-760.1	augustus-Nitab17-processed-gene-1755.6
maker-Nitab01-augustus-gene-308.12	maker-Nitab23-augustus-gene-436.6
maker-Nitab01-pred_gff_Mikado_loci-gene-516.6	maker-Nitab23-augustus-gene-588.25
maker-Nitab18-augustus-gene-116.11	maker-Nitab09-augustus-gene-898.16
maker-Nitab10-pred_gff_Mikado_loci-gene-422.0	maker-Nitab02-pred_gff_Mikado_loci-gene-426.6
maker-Nitab01-pred_gff_Mikado_loci-gene-21.1	maker-Nitab15-augustus-gene-1234.3
maker-Nitab07-pred_gff_Mikado_loci-gene-66.31	maker-Nitab02-augustus-gene-885.9
maker-Nitab22-augustus-gene-1561.1	maker-Nitab22-augustus-gene-21.9
maker-Nitab20-augustus-gene-1453.14	augustus-Nitab15-processed-gene-27.3
maker-Nitab10-pred_gff_Mikado_loci-gene-1467.13	maker-Nitab02-augustus-gene-675.0
maker-Nitab01-pred_gff_Mikado_loci-gene-161.11	maker-Nitab22-augustus-gene-197.1
maker-Nitab07-augustus-gene-274.2	augustus-Nitab13-processed-gene-12.1
maker-Nitab16-pred_gff_Mikado_loci-gene-1474.2	maker-Nitab09-augustus-gene-398.4
augustus-Nitab11-processed-gene-518.2	augustus-Nitab12-processed-gene-1121.12
maker-Nitab11-pred_gff_Mikado_loci-gene-772.0	maker-Nitab13-pred_gff_Mikado_loci-gene-726.4
maker-Nitab10-augustus-gene-168.10	maker-Nitab24-augustus-gene-159.8
augustus-Nitab10-processed-gene-1190.5	maker-Nitab02-pred_gff_Mikado_loci-gene-1047.5
maker-Nitab06-pred_gff_Mikado_loci-gene-1041.11	maker-Nitab04-pred_gff_Mikado_loci-gene-665.0
maker-Nitab16-pred_gff_Mikado_loci-gene-615.0	augustus-Nitab13-processed-gene-86.1
maker-Nitab10-augustus-gene-731.7	augustus-Nitab02-processed-gene-678.17
maker-Nitab21-augustus-gene-102.1	maker-Nitab14-pred_gff_Mikado_loci-gene-1051.8
maker-Nitab08-pred_gff_Mikado_loci-gene-1228.0	maker-Nitab04-augustus-gene-569.0
maker-Nitab10-pred_gff_Mikado_loci-gene-733.7	maker-Nitab12-pred_gff_Mikado_loci-gene-193.1
maker-Nitab07-augustus-gene-1102.1	augustus-Nitab14-processed-gene-365.14
maker-Nitab10-augustus-gene-994.11	maker-Nitab02-augustus-gene-847.20
maker-Nitab04-augustus-gene-542.17	maker-Nitab04-augustus-gene-526.6
maker-Nitab05-pred_gff_Mikado_loci-gene-268.11	maker-Nitab24-augustus-gene-43.9
maker-Nitab06-pred_gff_Mikado_loci-gene-1468.14	maker-Nitab04-augustus-gene-292.5
maker-Nitab05-augustus-gene-1437.3	augustus-Nitab23-processed-gene-777.0
maker-Nitab01-augustus-gene-1265.5	maker-Nitab23-pred_gff_Mikado_loci-gene-702.2
maker-Nitab16-pred_gff_Mikado_loci-gene-1379.16	augustus-Nitab17-processed-gene-226.16
maker-Nitab03-augustus-gene-400.2	maker-Nitab17-augustus-gene-1713.3
maker-Nitab07-pred_gff_Mikado_loci-gene-206.0	maker-Nitab19-augustus-gene-1061.14
maker-Nitab08-pred_gff_Mikado_loci-gene-683.8	maker-Nitab02-pred_gff_Mikado_loci-gene-360.14
maker-Nitab01-augustus-gene-750.3	maker-Nitab15-augustus-gene-1083.1
maker-Nitab22-augustus-gene-805.4	maker-Nitab15-augustus-gene-989.8
maker-Nitab10-pred_gff_Mikado_loci-gene-205.6	maker-Nitab16-pred_gff_Mikado_loci-gene-157.6
augustus-Nitab17-processed-gene-45.5	maker-Nitab15-augustus-gene-124.2
maker-Nitab22-augustus-gene-2001.5	maker-Nitab15-augustus-gene-21.14
maker-Nitab05-pred_gff_Mikado_loci-gene-1595.3	maker-Nitab14-pred_gff_Mikado_loci-gene-982.0
augustus-Nitab05-processed-gene-701.13	maker-Nitab22-augustus-gene-770.0
maker-Nitab10-pred_gff_Mikado_loci-gene-842.13	maker-Nitab17-augustus-gene-628.10
maker-Nitab20-pred_gff_Mikado_loci-gene-273.2	maker-Nitab24-pred_gff_Mikado_loci-gene-810.19
maker-Nitab03-pred_gff_Mikado_loci-gene-448.0	maker-Nitab17-augustus-gene-1151.3
augustus-Nitab07-processed-gene-1383.5	maker-Nitab19-pred_gff_Mikado_loci-gene-493.5
maker-Nitab01-pred_gff_Mikado_loci-gene-49.7	maker-Nitab23-augustus-gene-111.0
maker-Nitab10-augustus-gene-296.3	maker-Nitab24-pred_gff_Mikado_loci-gene-294.14
maker-Nitab11-augustus-gene-1385.6	maker-Nitab04-augustus-gene-774.4
maker-Nitab04-augustus-gene-829.20	maker-Nitab04-augustus-gene-829.6
maker-Nitab03-pred_gff_Mikado_loci-gene-433.0	maker-Nitab14-pred_gff_Mikado_loci-gene-907.30
maker-Nitab14-augustus-gene-39.1	maker-Nitab15-augustus-gene-41.10
maker-Nitab14-pred_gff_Mikado_loci-gene-41.1	maker-Nitab13-augustus-gene-43.0
maker-Nitab07-augustus-gene-785.10	maker-Nitab15-augustus-gene-37.4
maker-Nitab21-augustus-gene-41.30	maker-Nitab14-pred_gff_Mikado_loci-gene-1099.0
maker-Nitab22-pred_gff_Mikado_loci-gene-2109.6	augustus-Nitab19-processed-gene-82.4
maker-Nitab07-augustus-gene-36.0	maker-Nitab17-augustus-gene-1648.15
maker-Nitab06-augustus-gene-1468.9	maker-Nitab04-augustus-gene-291.11
maker-Nitab07-augustus-gene-54.6	maker-Nitab24-augustus-gene-367.16
maker-Nitab03-augustus-gene-309.10	augustus-Nitab09-processed-gene-1098.2
maker-Nitab21-augustus-gene-316.4	maker-Nitab14-augustus-gene-842.5
maker-Nitab16-augustus-gene-1304.8	maker-Nitab12-augustus-gene-1012.7
augustus-Nitab21-processed-gene-39.20	maker-Nitab21-pred_gff_Mikado_loci-gene-903.0
maker-Nitab10-pred_gff_Mikado_loci-gene-206.1	maker-Nitab24-augustus-gene-279.14
augustus-Nitab22-processed-gene-1677.26	maker-Nitab15-augustus-gene-500.0
maker-Nitab20-pred_gff_Mikado_loci-gene-62.8	maker-Nitab04-pred_gff_Mikado_loci-gene-699.2
maker-Nitab03-pred_gff_Mikado_loci-gene-1600.10	maker-Nitab03-augustus-gene-1583.26
maker-Nitab03-augustus-gene-705.19	augustus-Nitab14-processed-gene-850.2
maker-Nitab08-augustus-gene-536.1	maker-Nitab17-augustus-gene-205.3
maker-Nitab09-augustus-gene-129.20	maker-Nitab18-augustus-gene-1354.0
maker-Nitab06-pred_gff_Mikado_loci-gene-1854.33	maker-Nitab15-augustus-gene-144.6
maker-Nitab22-augustus-gene-1721.8	maker-Nitab19-augustus-gene-360.4
maker-Nitab22-augustus-gene-994.0	maker-Nitab14-augustus-gene-657.1
maker-Nitab21-augustus-gene-42.29	augustus-Nitab14-processed-gene-1098.1
maker-Nitab21-pred_gff_Mikado_loci-gene-31.3	maker-Nitab14-augustus-gene-1113.1
maker-Nitab10-augustus-gene-27.0	maker-Nitab02-augustus-gene-10.1
maker-Nitab03-augustus-gene-1379.0	maker-Nitab01-augustus-gene-1854.0
maker-Nitab06-pred_gff_Mikado_loci-gene-1128.4	maker-Nitab04-pred_gff_Mikado_loci-gene-613.4
augustus-Nitab11-processed-gene-1186.11	maker-Nitab24-augustus-gene-448.0
maker-Nitab06-augustus-gene-441.1	maker-Nitab23-augustus-gene-1458.8
augustus-Nitab18-processed-gene-150.7	maker-Nitab08-pred_gff_Mikado_loci-gene-616.0
maker-Nitab10-pred_gff_Mikado_loci-gene-963.2	maker-Nitab02-pred_gff_Mikado_loci-gene-833.5
augustus-Nitab05-processed-gene-1553.12	maker-Nitab15-augustus-gene-1180.11
maker-Nitab06-augustus-gene-1749.16	maker-Nitab04-pred_gff_Mikado_loci-gene-117.7
maker-Nitab08-augustus-gene-213.8	maker-Nitab22-augustus-gene-43.23
maker-Nitab01-pred_gff_Mikado_loci-gene-1090.1	maker-Nitab13-augustus-gene-207.9
maker-Nitab20-augustus-gene-71.14	augustus-Nitab24-processed-gene-1022.3
maker-Nitab10-augustus-gene-101.3	maker-Nitab02-augustus-gene-87.5
maker-Nitab06-augustus-gene-1257.13	maker-Nitab04-augustus-gene-474.5
maker-Nitab06-augustus-gene-1142.0	maker-Nitab04-augustus-gene-178.13
maker-Nitab07-augustus-gene-161.3	maker-Nitab19-augustus-gene-543.1
maker-Nitab01-pred_gff_Mikado_loci-gene-390.1	maker-Nitab22-augustus-gene-195.3
maker-Nitab01-augustus-gene-234.15	augustus-Nitab23-processed-gene-386.27
maker-Nitab08-pred_gff_Mikado_loci-gene-224.14	maker-Nitab22-augustus-gene-38.12
maker-Nitab18-augustus-gene-346.1	maker-Nitab22-augustus-gene-613.6
maker-Nitab05-pred_gff_Mikado_loci-gene-1526.0	maker-Nitab23-augustus-gene-894.0
augustus-Nitab07-processed-gene-563.2	maker-Nitab22-pred_gff_Mikado_loci-gene-205.19
maker-Nitab11-pred_gff_Mikado_loci-gene-890.4	maker-Nitab13-augustus-gene-838.3
maker-Nitab08-augustus-gene-84.3	maker-Nitab17-augustus-gene-94.26
maker-Nitab08-augustus-gene-1642.26	maker-Nitab02-pred_gff_Mikado_loci-gene-1219.18
maker-Nitab08-augustus-gene-196.12	maker-Nitab17-augustus-gene-1511.11
maker-Nitab12-augustus-gene-812.2	maker-Nitab24-pred_gff_Mikado_loci-gene-495.1
maker-Nitab07-augustus-gene-394.6	maker-Nitab19-augustus-gene-1175.4
maker-Nitab22-augustus-gene-2139.9	maker-Nitab19-augustus-gene-6.0
maker-Nitab01-pred_gff_Mikado_loci-gene-1409.0	augustus-Nitab13-processed-gene-388.2
maker-Nitab03-augustus-gene-1610.2	maker-Nitab17-augustus-gene-1269.0
maker-Nitab03-augustus-gene-1637.15	maker-Nitab03-augustus-gene-1665.8
augustus-Nitab07-processed-gene-1241.4	augustus-Nitab14-processed-gene-280.5
maker-Nitab03-pred_gff_Mikado_loci-gene-1297.5	maker-Nitab17-pred_gff_Mikado_loci-gene-1479.14
maker-Nitab04-pred_gff_Mikado_loci-gene-1117.5	maker-Nitab17-pred_gff_Mikado_loci-gene-1453.3
maker-Nitab11-augustus-gene-170.11	maker-Nitab04-augustus-gene-867.0
maker-Nitab03-augustus-gene-14.2	maker-Nitab02-augustus-gene-467.8
maker-Nitab10-augustus-gene-1416.0	maker-Nitab21-augustus-gene-936.0
maker-Nitab07-pred_gff_Mikado_loci-gene-191.4	augustus-Nitab19-processed-gene-1051.3
maker-Nitab06-augustus-gene-1409.7	maker-Nitab04-augustus-gene-419.14
maker-Nitab10-augustus-gene-1025.4	maker-Nitab02-augustus-gene-877.0
maker-Nitab16-augustus-gene-194.2	maker-Nitab23-augustus-gene-1321.1
maker-Nitab07-pred_gff_Mikado_loci-gene-837.7	maker-Nitab14-augustus-gene-482.9
maker-Nitab11-pred_gff_Mikado_loci-gene-412.4	maker-Nitab04-pred_gff_Mikado_loci-gene-1321.1
maker-Nitab16-pred_gff_Mikado_loci-gene-1283.0	maker-Nitab12-pred_gff_Mikado_loci-gene-920.1
maker-Nitab08-pred_gff_Mikado_loci-gene-1270.1	maker-Nitab23-augustus-gene-1474.16
augustus-Nitab07-processed-gene-977.13	augustus-Nitab14-processed-gene-543.2
maker-Nitab16-augustus-gene-1165.1	maker-Nitab15-augustus-gene-330.3
maker-Nitab18-augustus-gene-647.0	maker-Nitab18-pred_gff_Mikado_loci-gene-700.0
maker-Nitab11-augustus-gene-844.0	maker-Nitab13-augustus-gene-842.5
maker-Nitab08-augustus-gene-1506.4	maker-Nitab21-augustus-gene-836.13
maker-Nitab20-augustus-gene-1232.11	maker-Nitab04-augustus-gene-90.41
maker-Nitab16-augustus-gene-11.12	augustus-Nitab23-processed-gene-1455.3
maker-Nitab10-pred_gff_Mikado_loci-gene-87.13	maker-Nitab24-pred_gff_Mikado_loci-gene-277.4
maker-Nitab08-pred_gff_Mikado_loci-gene-15.16	augustus-Nitab22-processed-gene-359.1
maker-Nitab06-augustus-gene-552.4	maker-Nitab17-augustus-gene-1275.1
maker-Nitab06-pred_gff_Mikado_loci-gene-952.35	augustus-Nitab02-processed-gene-219.8
maker-Nitab10-pred_gff_Mikado_loci-gene-1404.0	maker-Nitab02-augustus-gene-1205.15
augustus-Nitab08-processed-gene-63.6	maker-Nitab22-augustus-gene-177.0
maker-Nitab06-augustus-gene-1874.12	maker-Nitab22-augustus-gene-112.0
maker-Nitab08-pred_gff_Mikado_loci-gene-1446.3	maker-Nitab02-augustus-gene-847.28
augustus-Nitab11-processed-gene-779.3	maker-Nitab13-augustus-gene-716.1
maker-Nitab05-pred_gff_Mikado_loci-gene-656.4	augustus-Nitab24-processed-gene-2.3
augustus-Nitab16-processed-gene-1054.20	maker-Nitab12-augustus-gene-864.3
maker-Nitab20-augustus-gene-120.5	maker-Nitab24-augustus-gene-973.7
maker-Nitab11-augustus-gene-54.2	maker-Nitab13-augustus-gene-1348.5
maker-Nitab18-augustus-gene-619.9	maker-Nitab18-augustus-gene-676.12
maker-Nitab17-pred_gff_Mikado_loci-gene-29.15	maker-Nitab22-augustus-gene-670.0
maker-Nitab09-augustus-gene-68.8	maker-Nitab21-augustus-gene-1050.13
maker-Nitab06-pred_gff_Mikado_loci-gene-1438.19	maker-Nitab09-pred_gff_Mikado_loci-gene-787.1
maker-Nitab07-augustus-gene-1328.3	maker-Nitab14-augustus-gene-205.9
maker-Nitab05-augustus-gene-1090.0	maker-Nitab15-augustus-gene-417.0
maker-Nitab11-pred_gff_Mikado_loci-gene-180.10	augustus-Nitab13-processed-gene-587.2
maker-Nitab20-augustus-gene-1287.20	maker-Nitab19-augustus-gene-1344.0
maker-Nitab03-pred_gff_Mikado_loci-gene-219.10	maker-Nitab17-pred_gff_Mikado_loci-gene-1541.1
maker-Nitab07-augustus-gene-14.28	maker-Nitab19-augustus-gene-840.0
maker-Nitab06-augustus-gene-1847.4	maker-Nitab15-augustus-gene-146.8
maker-Nitab03-pred_gff_Mikado_loci-gene-586.0	maker-Nitab09-augustus-gene-813.1
maker-Nitab16-augustus-gene-1089.5	maker-Nitab12-augustus-gene-877.17
maker-Nitab11-augustus-gene-733.1	maker-Nitab02-augustus-gene-304.6
maker-Nitab01-augustus-gene-1828.4	maker-Nitab13-augustus-gene-187.5
augustus-Nitab18-processed-gene-357.6	maker-Nitab09-pred_gff_Mikado_loci-gene-907.16
maker-Nitab16-augustus-gene-1101.12	maker-Nitab17-augustus-gene-870.9
maker-Nitab08-pred_gff_Mikado_loci-gene-1409.0	maker-Nitab21-augustus-gene-654.21
maker-Nitab11-pred_gff_Mikado_loci-gene-1281.0	augustus-Nitab12-processed-gene-420.0
maker-Nitab20-augustus-gene-70.5	maker-Nitab24-augustus-gene-1020.15
maker-Nitab03-pred_gff_Mikado_loci-gene-1412.17	maker-Nitab17-augustus-gene-1446.11
augustus-Nitab10-processed-gene-1143.24	augustus-Nitab02-processed-gene-914.0
maker-Nitab03-augustus-gene-1715.17	maker-Nitab03-augustus-gene-1450.6
maker-Nitab07-pred_gff_Mikado_loci-gene-150.1	augustus-Nitab19-processed-gene-884.13
maker-Nitab01-augustus-gene-1326.2	maker-Nitab05-augustus-gene-1517.10
maker-Nitab07-pred_gff_Mikado_loci-gene-133.7	maker-Nitab24-augustus-gene-507.4
maker-Nitab09-augustus-gene-66.7	maker-Nitab18-augustus-gene-1435.11
maker-Nitab07-augustus-gene-1409.14	maker-Nitab14-augustus-gene-153.10
