augustus-Nitab20-processed-gene-16.2	maker-Nitab13-augustus-gene-241.15
augustus-Nitab03-processed-gene-214.11	maker-Nitab17-augustus-gene-711.5
maker-Nitab03-augustus-gene-280.0	maker-Nitab17-augustus-gene-1305.33
maker-Nitab03-augustus-gene-334.1	maker-Nitab17-pred_gff_Mikado_loci-gene-548.0
maker-Nitab03-pred_gff_Mikado_loci-gene-388.2	maker-Nitab17-augustus-gene-1679.14
maker-Nitab03-pred_gff_Mikado_loci-gene-414.5	maker-Nitab19-augustus-gene-1080.3
maker-Nitab03-augustus-gene-557.10	maker-Nitab04-augustus-gene-338.3
augustus-Nitab03-processed-gene-568.2	maker-Nitab02-augustus-gene-278.6
maker-Nitab03-augustus-gene-604.5	maker-Nitab17-pred_gff_Mikado_loci-gene-972.2
maker-Nitab03-augustus-gene-632.5	maker-Nitab23-pred_gff_Mikado_loci-gene-1252.10
maker-Nitab03-augustus-gene-654.9	maker-Nitab14-pred_gff_Mikado_loci-gene-1007.0
maker-Nitab03-augustus-gene-710.0	maker-Nitab17-augustus-gene-1132.5
maker-Nitab03-augustus-gene-731.10	maker-Nitab17-augustus-gene-503.0
maker-Nitab03-pred_gff_Mikado_loci-gene-762.4	maker-Nitab17-pred_gff_Mikado_loci-gene-1759.24
maker-Nitab03-augustus-gene-763.4	maker-Nitab17-pred_gff_Mikado_loci-gene-1759.23
maker-Nitab03-augustus-gene-763.11	maker-Nitab24-pred_gff_Mikado_loci-gene-1077.0
maker-Nitab03-augustus-gene-780.2	maker-Nitab17-pred_gff_Mikado_loci-gene-1683.4
augustus-Nitab03-processed-gene-833.2	maker-Nitab15-pred_gff_Mikado_loci-gene-634.5
maker-Nitab03-augustus-gene-866.0	maker-Nitab17-pred_gff_Mikado_loci-gene-1164.18
augustus-Nitab03-processed-gene-984.0	maker-Nitab14-pred_gff_Mikado_loci-gene-969.3
maker-Nitab03-augustus-gene-1027.5	maker-Nitab24-augustus-gene-352.9
maker-Nitab03-augustus-gene-1049.4	maker-Nitab17-augustus-gene-1623.0
maker-Nitab03-pred_gff_Mikado_loci-gene-1141.2	maker-Nitab17-pred_gff_Mikado_loci-gene-675.5
maker-Nitab03-pred_gff_Mikado_loci-gene-1141.1	augustus-Nitab17-processed-gene-1557.5
maker-Nitab03-augustus-gene-1370.0	maker-Nitab03-pred_gff_Mikado_loci-gene-1335.1
maker-Nitab03-augustus-gene-1407.7	maker-Nitab17-pred_gff_Mikado_loci-gene-1450.0
maker-Nitab03-augustus-gene-1410.2	augustus-Nitab02-processed-gene-975.5
maker-Nitab03-augustus-gene-1417.6	maker-Nitab17-pred_gff_Mikado_loci-gene-1432.8
maker-Nitab03-augustus-gene-1414.23	maker-Nitab14-pred_gff_Mikado_loci-gene-88.0
augustus-Nitab03-processed-gene-1432.4	augustus-Nitab23-processed-gene-1288.20
maker-Nitab03-augustus-gene-1456.0	augustus-Nitab19-processed-gene-989.4
augustus-Nitab03-processed-gene-1543.10	maker-Nitab17-augustus-gene-1302.0
maker-Nitab03-augustus-gene-1704.12	maker-Nitab17-pred_gff_Mikado_loci-gene-1252.27
maker-Nitab03-augustus-gene-1704.21	maker-Nitab17-augustus-gene-1252.8
maker-Nitab03-augustus-gene-1721.38	maker-Nitab14-augustus-gene-1149.4
maker-Nitab03-augustus-gene-1303.38	augustus-Nitab14-processed-gene-538.4
augustus-Nitab11-processed-gene-47.4	augustus-Nitab23-processed-gene-436.15
maker-Nitab11-augustus-gene-118.12	augustus-Nitab13-processed-gene-1338.8
maker-Nitab11-augustus-gene-121.0	maker-Nitab13-pred_gff_Mikado_loci-gene-1337.30
maker-Nitab11-augustus-gene-129.9	maker-Nitab22-augustus-gene-519.19
augustus-Nitab11-processed-gene-164.17	augustus-Nitab13-processed-gene-1322.1
augustus-Nitab11-processed-gene-199.0	maker-Nitab13-augustus-gene-1295.9
maker-Nitab11-augustus-gene-271.0	maker-Nitab13-pred_gff_Mikado_loci-gene-1250.0
augustus-Nitab11-processed-gene-284.1	maker-Nitab13-pred_gff_Mikado_loci-gene-1184.4
augustus-Nitab11-processed-gene-472.1	maker-Nitab15-augustus-gene-688.1
augustus-Nitab11-processed-gene-715.1	maker-Nitab08-pred_gff_Mikado_loci-gene-897.10
maker-Nitab11-pred_gff_Mikado_loci-gene-737.5	maker-Nitab04-pred_gff_Mikado_loci-gene-596.1
maker-Nitab11-augustus-gene-853.3	augustus-Nitab11-processed-gene-11.2
maker-Nitab11-augustus-gene-894.10	maker-Nitab19-pred_gff_Mikado_loci-gene-1455.9
maker-Nitab11-pred_gff_Mikado_loci-gene-944.1	maker-Nitab21-pred_gff_Mikado_loci-gene-974.0
maker-Nitab11-pred_gff_Mikado_loci-gene-1082.6	maker-Nitab13-pred_gff_Mikado_loci-gene-329.0
maker-Nitab11-augustus-gene-1148.3	maker-Nitab13-pred_gff_Mikado_loci-gene-993.20
augustus-Nitab11-processed-gene-1156.2	maker-Nitab09-pred_gff_Mikado_loci-gene-798.28
maker-Nitab11-augustus-gene-1168.7	maker-Nitab13-augustus-gene-269.1
maker-Nitab11-augustus-gene-1168.10	maker-Nitab13-augustus-gene-269.2
augustus-Nitab11-processed-gene-1185.3	maker-Nitab13-pred_gff_Mikado_loci-gene-262.1
maker-Nitab11-augustus-gene-1188.0	maker-Nitab02-augustus-gene-346.2
augustus-Nitab11-processed-gene-1192.1	maker-Nitab11-pred_gff_Mikado_loci-gene-106.2
maker-Nitab11-augustus-gene-1247.4	maker-Nitab23-pred_gff_Mikado_loci-gene-1407.16
maker-Nitab11-augustus-gene-1255.7	maker-Nitab02-pred_gff_Mikado_loci-gene-1111.0
maker-Nitab11-pred_gff_Mikado_loci-gene-1257.2	maker-Nitab02-augustus-gene-1112.15
maker-Nitab11-pred_gff_Mikado_loci-gene-1286.11	maker-Nitab14-pred_gff_Mikado_loci-gene-304.0
maker-Nitab11-pred_gff_Mikado_loci-gene-1303.15	maker-Nitab11-augustus-gene-14.5
maker-Nitab11-augustus-gene-1322.8	maker-Nitab11-pred_gff_Mikado_loci-gene-85.31
maker-Nitab11-augustus-gene-1325.0	maker-Nitab17-pred_gff_Mikado_loci-gene-1164.15
maker-Nitab11-augustus-gene-1357.0	maker-Nitab13-pred_gff_Mikado_loci-gene-1128.3
maker-Nitab11-augustus-gene-1354.5	maker-Nitab13-pred_gff_Mikado_loci-gene-1122.1
maker-Nitab11-augustus-gene-1400.0	maker-Nitab15-augustus-gene-33.12
maker-Nitab11-augustus-gene-1432.4	maker-Nitab13-pred_gff_Mikado_loci-gene-54.20
maker-Nitab11-augustus-gene-1422.21	maker-Nitab09-augustus-gene-154.0
maker-Nitab11-augustus-gene-1435.0	maker-Nitab14-pred_gff_Mikado_loci-gene-76.20
maker-Nitab11-pred_gff_Mikado_loci-gene-1455.3	maker-Nitab13-augustus-gene-3.1
maker-Nitab10-augustus-gene-67.14	maker-Nitab17-augustus-gene-866.9
maker-Nitab10-pred_gff_Mikado_loci-gene-154.11	maker-Nitab24-pred_gff_Mikado_loci-gene-264.34
maker-Nitab10-augustus-gene-209.4	maker-Nitab02-augustus-gene-160.3
augustus-Nitab10-processed-gene-215.8	maker-Nitab02-pred_gff_Mikado_loci-gene-166.10
maker-Nitab10-augustus-gene-219.10	maker-Nitab13-augustus-gene-1131.0
maker-Nitab10-augustus-gene-325.3	maker-Nitab22-pred_gff_Mikado_loci-gene-627.8
maker-Nitab10-augustus-gene-468.3	maker-Nitab17-pred_gff_Mikado_loci-gene-1054.19
maker-Nitab10-augustus-gene-533.3	maker-Nitab22-augustus-gene-691.1
augustus-Nitab10-processed-gene-713.2	maker-Nitab18-augustus-gene-1373.9
maker-Nitab10-augustus-gene-720.0	maker-Nitab02-augustus-gene-665.1
augustus-Nitab10-processed-gene-851.0	maker-Nitab02-augustus-gene-774.10
maker-Nitab10-augustus-gene-876.2	maker-Nitab19-augustus-gene-1121.24
augustus-Nitab10-processed-gene-1054.27	maker-Nitab17-pred_gff_Mikado_loci-gene-1678.2
maker-Nitab10-augustus-gene-1083.5	maker-Nitab02-pred_gff_Mikado_loci-gene-894.11
maker-Nitab10-augustus-gene-1096.1	maker-Nitab01-pred_gff_Mikado_loci-gene-1900.3
maker-Nitab10-pred_gff_Mikado_loci-gene-1119.11	augustus-Nitab02-processed-gene-1007.2
augustus-Nitab10-processed-gene-1161.1	maker-Nitab13-augustus-gene-430.1
augustus-Nitab10-processed-gene-1219.1	maker-Nitab02-pred_gff_Mikado_loci-gene-1060.3
maker-Nitab10-augustus-gene-1210.8	maker-Nitab24-augustus-gene-923.3
augustus-Nitab10-processed-gene-1268.1	maker-Nitab21-pred_gff_Mikado_loci-gene-522.10
augustus-Nitab10-processed-gene-1293.5	maker-Nitab02-augustus-gene-1114.1
maker-Nitab10-augustus-gene-1289.7	maker-Nitab02-pred_gff_Mikado_loci-gene-1112.0
maker-Nitab10-augustus-gene-1309.0	maker-Nitab13-pred_gff_Mikado_loci-gene-335.6
maker-Nitab10-augustus-gene-1313.0	augustus-Nitab18-processed-gene-1420.1
maker-Nitab10-augustus-gene-1337.4	maker-Nitab02-pred_gff_Mikado_loci-gene-1134.11
maker-Nitab10-augustus-gene-1366.1	maker-Nitab02-augustus-gene-1156.21
augustus-Nitab10-processed-gene-1388.4	maker-Nitab21-augustus-gene-837.7
maker-Nitab10-augustus-gene-1452.0	augustus-Nitab02-processed-gene-1233.17
maker-Nitab10-augustus-gene-1483.12	maker-Nitab02-augustus-gene-1248.10
maker-Nitab01-augustus-gene-1.8	maker-Nitab23-augustus-gene-29.5
maker-Nitab01-pred_gff_Mikado_loci-gene-4.36	maker-Nitab23-pred_gff_Mikado_loci-gene-26.24
maker-Nitab01-augustus-gene-7.14	maker-Nitab23-augustus-gene-22.9
maker-Nitab01-augustus-gene-12.1	maker-Nitab15-pred_gff_Mikado_loci-gene-1244.7
maker-Nitab01-augustus-gene-34.9	maker-Nitab23-augustus-gene-94.15
maker-Nitab01-augustus-gene-35.13	maker-Nitab17-augustus-gene-247.2
maker-Nitab01-augustus-gene-44.11	maker-Nitab04-augustus-gene-553.2
maker-Nitab01-augustus-gene-48.24	maker-Nitab22-augustus-gene-452.8
augustus-Nitab01-processed-gene-90.4	maker-Nitab23-pred_gff_Mikado_loci-gene-186.0
maker-Nitab01-pred_gff_Mikado_loci-gene-103.1	maker-Nitab23-pred_gff_Mikado_loci-gene-194.28
augustus-Nitab01-processed-gene-130.0	maker-Nitab23-pred_gff_Mikado_loci-gene-212.22
maker-Nitab01-augustus-gene-147.0	maker-Nitab21-augustus-gene-1023.5
maker-Nitab01-pred_gff_Mikado_loci-gene-161.12	maker-Nitab23-pred_gff_Mikado_loci-gene-250.4
maker-Nitab01-pred_gff_Mikado_loci-gene-238.2	maker-Nitab23-pred_gff_Mikado_loci-gene-391.16
maker-Nitab01-pred_gff_Mikado_loci-gene-252.23	maker-Nitab15-pred_gff_Mikado_loci-gene-934.11
augustus-Nitab01-processed-gene-349.1	maker-Nitab23-pred_gff_Mikado_loci-gene-467.4
maker-Nitab01-pred_gff_Mikado_loci-gene-409.0	maker-Nitab23-pred_gff_Mikado_loci-gene-510.3
maker-Nitab01-pred_gff_Mikado_loci-gene-464.11	maker-Nitab23-augustus-gene-367.0
maker-Nitab01-augustus-gene-512.7	maker-Nitab23-pred_gff_Mikado_loci-gene-587.1
maker-Nitab01-augustus-gene-562.0	maker-Nitab23-augustus-gene-605.1
maker-Nitab01-augustus-gene-578.0	maker-Nitab23-augustus-gene-631.0
augustus-Nitab01-processed-gene-652.2	maker-Nitab23-augustus-gene-706.2
maker-Nitab01-augustus-gene-727.2	maker-Nitab23-augustus-gene-679.6
maker-Nitab01-augustus-gene-748.1	maker-Nitab02-pred_gff_Mikado_loci-gene-896.11
maker-Nitab01-augustus-gene-855.5	maker-Nitab23-augustus-gene-757.3
augustus-Nitab01-processed-gene-870.0	maker-Nitab23-augustus-gene-744.9
augustus-Nitab01-processed-gene-941.0	maker-Nitab19-augustus-gene-942.15
maker-Nitab01-pred_gff_Mikado_loci-gene-943.0	maker-Nitab15-augustus-gene-1154.10
maker-Nitab01-augustus-gene-1082.4	maker-Nitab19-pred_gff_Mikado_loci-gene-1446.1
maker-Nitab01-augustus-gene-1251.2	augustus-Nitab21-processed-gene-630.2
maker-Nitab01-augustus-gene-1405.0	maker-Nitab09-pred_gff_Mikado_loci-gene-184.1
maker-Nitab01-augustus-gene-1487.4	maker-Nitab23-augustus-gene-800.15
maker-Nitab01-pred_gff_Mikado_loci-gene-1565.1	maker-Nitab23-pred_gff_Mikado_loci-gene-1192.6
maker-Nitab01-augustus-gene-1613.11	maker-Nitab19-pred_gff_Mikado_loci-gene-1034.23
maker-Nitab01-augustus-gene-1603.18	maker-Nitab15-augustus-gene-796.2
augustus-Nitab01-processed-gene-1663.0	maker-Nitab23-pred_gff_Mikado_loci-gene-1246.3
maker-Nitab01-augustus-gene-1691.6	maker-Nitab23-augustus-gene-1269.15
maker-Nitab01-augustus-gene-1803.2	maker-Nitab02-pred_gff_Mikado_loci-gene-1010.1
maker-Nitab01-augustus-gene-1835.10	maker-Nitab02-pred_gff_Mikado_loci-gene-783.1
maker-Nitab01-augustus-gene-1837.11	maker-Nitab02-pred_gff_Mikado_loci-gene-772.28
maker-Nitab01-pred_gff_Mikado_loci-gene-1844.1	maker-Nitab02-pred_gff_Mikado_loci-gene-748.23
maker-Nitab01-augustus-gene-1827.65	maker-Nitab01-pred_gff_Mikado_loci-gene-1868.40
maker-Nitab01-augustus-gene-1916.21	augustus-Nitab01-processed-gene-1901.25
maker-Nitab01-augustus-gene-1921.21	maker-Nitab01-pred_gff_Mikado_loci-gene-1938.28
augustus-Nitab19-processed-gene-854.8	maker-Nitab04-augustus-gene-1111.12
maker-Nitab19-augustus-gene-912.14	maker-Nitab19-augustus-gene-856.6
maker-Nitab19-augustus-gene-1088.14	maker-Nitab19-augustus-gene-1088.11
maker-Nitab16-augustus-gene-2.13	maker-Nitab24-pred_gff_Mikado_loci-gene-23.22
maker-Nitab16-augustus-gene-7.11	maker-Nitab23-augustus-gene-1478.4
augustus-Nitab16-processed-gene-17.3	maker-Nitab23-pred_gff_Mikado_loci-gene-1460.4
augustus-Nitab16-processed-gene-43.6	maker-Nitab11-augustus-gene-7.13
maker-Nitab16-pred_gff_Mikado_loci-gene-124.0	maker-Nitab23-augustus-gene-1394.5
maker-Nitab16-augustus-gene-157.27	maker-Nitab02-pred_gff_Mikado_loci-gene-154.8
maker-Nitab16-pred_gff_Mikado_loci-gene-186.0	maker-Nitab23-pred_gff_Mikado_loci-gene-1324.0
augustus-Nitab16-processed-gene-231.14	augustus-Nitab12-processed-gene-98.6
maker-Nitab16-augustus-gene-299.3	maker-Nitab24-pred_gff_Mikado_loci-gene-979.13
maker-Nitab16-augustus-gene-372.0	maker-Nitab24-augustus-gene-1028.0
augustus-Nitab16-processed-gene-564.0	maker-Nitab17-pred_gff_Mikado_loci-gene-878.4
maker-Nitab16-augustus-gene-576.16	maker-Nitab22-pred_gff_Mikado_loci-gene-189.1
maker-Nitab16-augustus-gene-609.12	maker-Nitab13-pred_gff_Mikado_loci-gene-88.2
augustus-Nitab16-processed-gene-635.0	augustus-Nitab23-processed-gene-93.4
augustus-Nitab16-processed-gene-689.0	maker-Nitab12-augustus-gene-423.0
maker-Nitab16-augustus-gene-740.2	maker-Nitab06-augustus-gene-1925.1
maker-Nitab16-augustus-gene-762.8	maker-Nitab15-augustus-gene-246.13
